date,HPG,TCB,FPT,PNJ,FRT,MWG,MBB,VNINDEX,W,D,E1,E0,DR,DR(VNI),CR,Sharpe,MaxDrawdown,YR
07/05/2026,27750.0,33700.0,73000.0,69100.0,145700.0,86000.0,26100.0,1909.01,0.0,0.0,28370000.0,28420000.0,-0.0017593244194229415,0.00941730118443318,1.3714753387100296,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
06/05/2026,27600.0,33900.0,73300.0,68000.0,147800.0,86000.0,26050.0,1891.2,0.0,0.0,28420000.0,28540000.0,-0.004204625087596356,0.008720697655812515,1.3756548863637308,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
05/05/2026,27300.0,33300.0,74300.0,67400.0,148900.0,84800.0,25950.0,1874.85,0.0,0.0,28540000.0,28505000.0,0.0012278547623223997,0.011213229345328646,1.3856858007326136,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
04/05/2026,27600.0,33550.0,73700.0,68300.0,148000.0,84900.0,26100.0,1854.06,0.0,0.0,28505000.0,29135000.0,-0.021623476917796466,-2.1573809395381005e-05,1.3827601173750228,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
29/04/2026,27750.0,33850.0,75500.0,67300.0,149000.0,84000.0,26050.0,1854.1,0.0,0.0,29135000.0,28880000.0,0.008829639889196677,-0.011589474582053949,1.4354224178116572,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
28/04/2026,27750.0,34600.0,74400.0,67000.0,147500.0,85600.0,26000.0,1875.84,0.0,0.0,28880000.0,28605000.0,0.009613703897919944,0.012167550680141748,1.4141067247777812,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
24/04/2026,27900.0,34250.0,73400.0,70000.0,144500.0,83500.0,26200.0,1853.29,0.0,0.0,28605000.0,28740000.0,-0.004697286012526096,-0.009126585256314268,1.3911192126824248,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
23/04/2026,27800.0,33300.0,74300.0,71700.0,146700.0,84500.0,26400.0,1870.36,0.0,0.0,28740000.0,28960000.0,-0.007596685082872928,0.007031712701232928,1.402403991347418,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
22/04/2026,28200.0,33000.0,74600.0,73333.33333333333,149900.0,86400.0,26200.0,1857.3,0.0,0.0,28960000.0,29220000.0,-0.00889801505817933,0.01299168793769212,1.4207940010237032,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
21/04/2026,28550.0,32700.0,75100.0,111900.0,151000.0,85600.0,26300.0,1833.48,0.0,0.0,29220000.0,29710000.0,-0.016492763379333558,-0.00197592958505477,1.4425276488229493,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
20/04/2026,28450.0,32600.0,76900.0,115000.0,150800.0,87300.0,26350.0,1837.11,0.0,0.0,29710000.0,29225000.0,0.016595380667236953,0.010973106533785915,1.4834872158292205,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
17/04/2026,28000.0,32250.0,76000.0,111000.0,152100.0,86900.0,26450.0,1817.17,0.0,0.0,29225000.0,28600000.0,0.021853146853146852,-0.0014616749916199767,1.4429456035883192,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
16/04/2026,27950.0,31900.0,74100.0,108900.0,151000.0,81300.0,26300.0,1819.83,0.0,0.0,28600000.0,28935000.0,-0.01157767409711422,0.010651709105045315,1.3907012579170548,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
